Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RFID_DACS-01.PrjPcb|ReportField=ProjectFullPath~E:\PROJECTS\RFID_DACS-01\RFID_DACS-01.PrjPcb|ReportField=Title~Bill of Materials For Project [RFID_DACS-01.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~190|ReportField=ReportTime~4:47:53 AM|ReportField=ReportDate~10/31/2016|ReportField=ReportDateTime~10/31/2016 4:47:53 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=VersionRevision~V1I0|ReportField=TotalSheetNumber~16|ReportField=RevisionNumber~V1.0|ReportField=Project~RFID_DACS-01|ReportField=DesignedBy~AYTAC DILEK|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/31/2016|ReportField=CurrentTime~4:43:22 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\PROJECTS\RFID_DACS-01\RFID_DACS-01.SchDoc|ReportField=DocumentName~RFID_DACS-01.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~AYTAC DILEK|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/31/2016|ReportField=Organization~|ReportField=ProjectName~RFID_DACS-01.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~RFID_DACS-01.PrjPcb|ReportField=DataSourceFullPath~E:\PROJECTS\RFID_DACS-01\RFID_DACS-01.PrjPcb
42|RES|RES SMD 3.3K OHM 1% 1/8W 0805, RES SMD 1K OHM 1% 1/8W 0805, RES SMD 1K OHM 1% 1/8W 0805, RES SMD 4.7K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 49.9 OHM 1% 1/8W 0805, RES SMD 49.9 OHM 1% 1/8W 0805, RES SMD 10 OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 33 OHM 1% 1/8W 0805, RES SMD 33 OHM 1% 1/8W 0805, RES SMD 33 OHM 1% 1/8W 0805, RES SMD 330 OHM 1% 1/8W 0805, RES SMD 33 OHM 1% 1/8W 0805, RES SMD 330 OHM 1% 1/8W 0805, RES SMD 330 OHM 1% 1/8W 0805, RES SMD 12.4K OHM 1% 1/8W 0805, RES SMD 49.9 OHM 1% 1/8W 0805, RES SMD 49.9 OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 1K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 1K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 51 OHM 1% 1/8W 0805, RES SMD 1K OHM 1% 1/8W 0805, RES SMD 4.7K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 4.7K OHM 1% 1/8W 0805, RES SMD 4.7K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 47K OHM 1% 1/8W 0805, RES SMD 120 OHM 1% 1/8W 0805, RES SMD 120 OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 120 OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 820 OHM 1% 1/8W 0805, RES SMD 5.1K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 10K OHM 1% 1/8W 0805, RES SMD 330 OHM 1% 1/8W 0805|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57|RESC2013X65N_EIA0805|SRES03010086, SRES03010074, SRES03010074, SRES03010090, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03030081, SRES03030081, SRES03010026, SRES03010098, SRES03010098, SRES03010038, SRES03010038, SRES03010038, SRES03010062, SRES03010038, SRES03010062, SRES03010062, SRES03010171, SRES03030081, SRES03030081, SRES03010098, SRES03010074, SRES03010098, SRES03010074, SRES03010098, SRES03010043, SRES03010074, SRES03010090, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010098, SRES03010090, SRES03010090, SRES03010098, SRES03010114, SRES03010052, SRES03010052, SRES03010098, SRES03010052, SRES03010098, SRES03010072, SRES03010091, SRES03010098, SRES03010098, SRES03010098, SRES03010062|57
43|HK23F-DC5V-SHG|RELAY GEN PURPOSE SPDT 3A 5V|REL1|HUIKE_HK23F-DC5V-SHG|SREL00004|1
44|SOLDER_BRIDGE|SOLDER BRIDGE 0805|SB1, SB2|SOLDER_BRIDGE_0805|SMSC00006|2
45|SWITCH_TACTILE_2PIN|SWITCH TACTILE SPST-NO 0.05A 12V|SW1|[C&K]RS-282G05A3-SM_RT|SSWI00022|1
46|BC817-40|TRANS NPN 45V 0.5A SOT23|T1|SOT95P240X120-3N_SOT-23-3|SSEM00025|1
47|MMBT3906|TRANS PNP 40V 0.2A SOT-23|T2|SOT95P240X120-3N_SOT-23-3|SSEM00023|1
48|TB3_EURO|TERM BLOCK HDR 3POS VERT 3.81MM|TB1|TB3_EURO|SCON00134|1
49|TB2_EURO|TERM BLOCK HDR 2POS VERT 3.81MM|TB2|TB2_EURO|SCON00138|1
50|POT|TRIMMER 10K OHM 0.15W SMD|VR1|TRIMMER_SMD|SPOT00047|1
51|CRYSTAL|CRYSTAL 25.0000MHZ 18PF T/H, CRYSTAL 8.0000MHZ 20PF T/H, CRYSTAL 27.1200MHZ 18PF SMD|X1, X3, X5|HC-49/US|SCRY00016, SCRY00001, SCRY00017|3
52|CRYSTAL_32K|CRYSTAL 32.768KHZ 6PF THRU|X2, X4|32.768_DIP|SCRY00009|2
